"type_code","type_name","type_definition","item_sequence","item_name","enterprise_name","main_ingredient","main_ingredient_eng","appearance","storage_method","valid_term"
"01000","신경계 감각기관용 의약품","신경계 감각기관용 의약품은 중추신경계 및 말초신경, 감각기관(눈, 귀 등)의 질환을 예방하거나 치료하는 약물로, 진통제, 항경련제, 안과용제, 이비과용제 등이 포함됩니다.","202000675","치큐원정600밀리그램(디오스민)","하나제약(주)","[M082272]디오스민","Diosmin","분홍 또는 연분홍의 장방형 필름코팅정제","밀폐용기, 실온보관(1~30℃)","제조일로부터 36 개월"
"01100","중추신경계용약","중추신경계용약은 뇌와 척수를 포함하는 중추신경계에 작용하여 의식, 감정, 운동, 감각 등에 영향을 주는 약물로, 진통제, 항우울제, 항정신병제, 항경련제, 마취제 등 다양한 작용 기전을 가진 약물이 포함됩니다.","202000106","동구메만틴염산염정10밀리그램","(주)동구바이오제약","[M242614]메만틴염산염","Memantine Hydrochloride","흰색의 장방형 필름코팅정","기밀용기, 실온(1∼30℃)보관","제조일로부터 36 개월"
"01100","중추신경계용약","중추신경계용약은 뇌와 척수를 포함하는 중추신경계에 작용하여 의식, 감정, 운동, 감각 등에 영향을 주는 약물로, 진통제, 항우울제, 항정신병제, 항경련제, 마취제 등 다양한 작용 기전을 가진 약물이 포함됩니다.","202105576","아조비오토인젝터주(프레마네주맙,유전자재조합)","(주)한독테바","[M280800]프레마네주맙","Fremanezumab","투명에서 유백광을 띄는 무색 내지 약간 노랑색의 용액이 충전되어 있는 주사침이 부착된 무색투명한 프리필드시린지가 오토인젝터에 장착된 주사제","밀봉용기, 차광하여 냉장보관(2-8°C)","제조일로부터 36 개월"
"01100","중추신경계용약","중추신경계용약은 뇌와 척수를 포함하는 중추신경계에 작용하여 의식, 감정, 운동, 감각 등에 영향을 주는 약물로, 진통제, 항우울제, 항정신병제, 항경련제, 마취제 등 다양한 작용 기전을 가진 약물이 포함됩니다.","202105577","아조비프리필드시린지주(프레마네주맙,유전자재조합)","(주)한독테바","[M280800]프레마네주맙","Fremanezumab","투명에서 유백광을 띄는 무색 내지 약간 노랑색의 용액이 주사침이 부착된 무색투명한 프리필드시린지에 든 주사제 ","밀봉용기, 차광하여 냉장보관(2-8°C)","제조일로부터 36 개월"
"01100","중추신경계용약","중추신경계용약은 뇌와 척수를 포함하는 중추신경계에 작용하여 의식, 감정, 운동, 감각 등에 영향을 주는 약물로, 진통제, 항우울제, 항정신병제, 항경련제, 마취제 등 다양한 작용 기전을 가진 약물이 포함됩니다.","202500739","아모닐정250밀리그램(아모다피닐(미분화))","명인제약(주)","[M283949]아모다피닐(미분화)","Armodafinil micronized","흰색 또는 미황색의 타원형 정제","기밀용기, 실온보관(1~30℃)","제조일로부터 36 개월"
"01100","중추신경계용약","중추신경계용약은 뇌와 척수를 포함하는 중추신경계에 작용하여 의식, 감정, 운동, 감각 등에 영향을 주는 약물로, 진통제, 항우울제, 항정신병제, 항경련제, 마취제 등 다양한 작용 기전을 가진 약물이 포함됩니다.","202500740","아모닐정150밀리그램(아모다피닐(미분화))","명인제약(주)","[M283949]아모다피닐(미분화)","Armodafinil micronized","흰색 또는 미황색의 타원형 정제","기밀용기, 실온보관(1~30℃)","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","198000620","석전아산화질소","석전의료공업(주)","[M040349]아산화질소","Nitrous Oxide","이 약은 정량할 때 아산화질소(N2O) 97.0~101.0 vol%를 함유한다. 이 약은 무색의 가스로 냄새는 없다. 이 약 1ml는 온도 20도, 101.3kPa에서 물 1.5ml, 에타놀(95) 0.4ml에 녹고 에테르 또는 지방유에는 녹는다. 이 약 1,000ml는 온도 0도, 101.3kPa에서 약 1.96g이다.","내압성 금속제 밀봉용기","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","198601870","펜토탈소디움0.5그램주(치오펜탈나트륨)","제이더블유중외제약(주)","[M040562]치오펜탈나트륨","Thiopental Sodium","황백색의 분말을 충진한 갈색 바이알","차광밀봉용기, 실온(1~30℃)보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","198701954","단일의료용아산화질소","단일시스켐(주)","[M040349]아산화질소","Nitrous Oxide","이 약은 실온, 대기압에서 무색의 기체로 냄새는 없다 이 약 1ml 온도 20℃, 기압 101.3 kPa에서 물 1.5ml 또는 에탄올(95) 0.4ml에 녹고, 에테르 또는 지방유에는 녹는다 이 약 1000ml는 0℃, 기압 101.3kPa에서 약 1.96g이다.","내압금속제 밀봉용기에 넣어 40℃ 이하에 세워서 보관할 것,  제조일로부터 36개월","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","199402598","신양아산화질소","신양메디슨(주)",NULL,NULL,"1) 이 약은 실온 대기압하에서 무색의 가스로 냄새는 없다.   2) 이 약1미리리터는 온도 20도 기압70미리에서 물 1.5미리리터,에칠알콜 0.4미리리터에 녹고 에텔,지방유에 조금 녹는다.   3) 이 약1리터는 온도 섭시0도,기압 760미리에서 약 1.962그램이다.","내압금속제 밀봉용기 충전(40'C이하 보관) ","제조일로부터 36 개월"
