query,context,label,product_type,ingredient_name
심부전 치료에 쓰이는 약물,디곡신은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,디곡신
심장 기능 강화 성분,디곡신은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,디곡신
심근 수축을 돕는 성분,디곡신은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,디곡신
심근 수축을 돕는 성분,옥수수전분은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,옥수수전분
심장 기능 강화 성분,옥수수전분은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,옥수수전분
심부전 치료에 쓰이는 약물,옥수수전분은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,옥수수전분
심부전 치료에 쓰이는 약물,히드록시프로필셀룰로오스은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,히드록시프로필셀룰로오스
심근 수축을 돕는 성분,히드록시프로필셀룰로오스은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,히드록시프로필셀룰로오스
심장 기능 강화 성분,히드록시프로필셀룰로오스은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,히드록시프로필셀룰로오스
심부전 치료에 쓰이는 약물,젤라틴은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,젤라틴
심장 기능 강화 성분,젤라틴은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,젤라틴
심근 수축을 돕는 성분,젤라틴은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,젤라틴
심장 기능 강화 성분,디메치콘100은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,디메치콘100
심근 수축을 돕는 성분,디메치콘100은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,디메치콘100
심부전 치료에 쓰이는 약물,디메치콘100은(는) 강심제 제제에서 사용되는 의약 성분이다.,1.0,강심제,디메치콘100
구충제의 주요 성분,포비돈은(는) 구충제 제제에서 사용되는 의약 성분이다.,1.0,구충제,포비돈
구충제의 주요 성분,전분글리콜산나트륨은(는) 구충제 제제에서 사용되는 의약 성분이다.,1.0,구충제,전분글리콜산나트륨
구충제의 주요 성분,아스파탐은(는) 구충제 제제에서 사용되는 의약 성분이다.,1.0,구충제,아스파탐
구충제의 주요 성분,라우릴 황산나트륨은(는) 구충제 제제에서 사용되는 의약 성분이다.,1.0,구충제,라우릴 황산나트륨
구충제의 주요 성분,프로필렌글리콜은(는) 구충제 제제에서 사용되는 의약 성분이다.,1.0,구충제,프로필렌글리콜
당류제의 주요 성분,포도당은(는) 당류제 제제에서 사용되는 의약 성분이다.,1.0,당류제,포도당
당류제의 주요 성분,디-만니톨은(는) 당류제 제제에서 사용되는 의약 성분이다.,1.0,당류제,디-만니톨
당류제의 주요 성분,D-만니톨은(는) 당류제 제제에서 사용되는 의약 성분이다.,1.0,당류제,D-만니톨
당류제의 주요 성분,D-소르비톨은(는) 당류제 제제에서 사용되는 의약 성분이다.,1.0,당류제,D-소르비톨
당류제의 주요 성분,디만니톨은(는) 당류제 제제에서 사용되는 의약 성분이다.,1.0,당류제,디만니톨
백신류의 주요 성분,폴리소르베이트80은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,폴리소르베이트80
백신류의 주요 성분,트로메타민은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,트로메타민
백신류의 주요 성분,아르기닌은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,아르기닌
백신류의 주요 성분,정제불활화인플루엔자바이러스항원B형(B/Phuket/3073/2013)은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,정제불활화인플루엔자바이러스항원B형(B/Phuket/3073/2013)
백신류의 주요 성분,1회용주사침(25G x 5/8(0.5 x 16mm)은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,1회용주사침(25G x 5/8(0.5 x 16mm)
백신류의 주요 성분,주사침(멸균된 1회용 주사침)(25G 5/8(0.5x16mm))은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,주사침(멸균된 1회용 주사침)(25G 5/8(0.5x16mm))
백신류의 주요 성분,"폐렴구균다당류(혈청형 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, 23F)-NTHi 단백질 D, 파상풍톡소이드, 디프테리아톡소이드 접합체 [균주: S. pneumoniae주](규격:혈청형별 각각 별규)은(는) 백신류 제제에서 사용되는 의약 성분이다.",1.0,백신류,"폐렴구균다당류(혈청형 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, 23F)-NTHi 단백질 D, 파상풍톡소이드, 디프테리아톡소이드 접합체 [균주: S. pneumoniae주](규격:혈청형별 각각 별규)"
백신류의 주요 성분,L-글루탐산나트륨수화물은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,L-글루탐산나트륨수화물
백신류의 주요 성분,약독홍역생바이러스(Enders' Edmonston주)은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,약독홍역생바이러스(Enders' Edmonston주)
백신류의 주요 성분,불활화폴리오바이러스제1형(바이러스주명:Mahoney주)은(는) 백신류 제제에서 사용되는 의약 성분이다.,1.0,백신류,불활화폴리오바이러스제1형(바이러스주명:Mahoney주)
