query,context,label
진경제,"진경제는 위장관, 비뇨기계 등의 평활근 수축을 억제하여 복통, 위경련, 과민성 대장증후군 등으로 인한 경련성 통증을 완화하는 약물입니다. 하이오시아민, 부틸스코폴라민 등이 포함됩니다.",1.0
주로 그람음성균에 작용하는 것은 언제 써?,"그람음성균(예: 대장균, 녹농균 등)을 주요 표적으로 하는 항생제로, 아미노글리코사이드계, 세팔로스포린계, 퀴놀론계 등이 이에 해당합니다.",1.0
생물학적 제제,"기타의 비타민제는 일반적인 비타민 A, B, C, D, E, K를 제외한 복합 비타민이나 특수 조합 비타민제를 포함하며, 특정 대사 기능 강화나 면역력 개선, 영양 보충을 목적으로 사용됩니다.",0.0
치질용제,"치질용제는 항문 주위 정맥의 염증이나 출혈, 통증을 완화하고 조직 회복을 촉진하기 위한 약물입니다. 좌약, 연고, 크림 형태로 사용되며, 국소 마취제, 혈관수축제, 소염제 등이 포함됩니다.",1.0
기타의 외피용약이란?,"피부에 국소적으로 작용하여 다양한 증상(가려움, 염증, 감염 등)을 치료하거나 보호하는 데 사용되는 외용약 중 기존 분류에 속하지 않는 제제입니다.",1.0
이담제의 효능은?,"이담제는 담즙 분비를 촉진하거나 담관 운동을 개선하여 담즙 정체, 담석증, 소화불량 등의 치료에 사용되는 약물입니다. 우르소데옥시콜산(UDCA) 등이 대표적으로 사용됩니다.",1.0
기타의 신경계및 감각기관용 의약품은 어떤 약이야?,"기타의 신경계 및 감각기관용 의약품은 기존 분류에 속하지 않는 약물로, 특수한 신경계 질환이나 감각 기능(시각, 청각, 촉각 등)의 이상에 대응하는 의약품을 포함합니다.",1.0
방역용 살균소독제의 효능은?,"전염병 예방 및 위생 관리를 위해 사용하는 제제로, 병원균을 제거하거나 억제하여 공공 및 의료 환경의 위생을 유지합니다.",1.0
기타의 신경계및 감각기관용 의약품은 언제 써?,"기타의 신경계 및 감각기관용 의약품은 기존 분류에 속하지 않는 약물로, 특수한 신경계 질환이나 감각 기능(시각, 청각, 촉각 등)의 이상에 대응하는 의약품을 포함합니다.",1.0
자율신경제이란?,"자율신경제는 교감 및 부교감 신경계에 작용하여 심박수, 위장관 운동, 기관지 확장 등 자율신경계 기능을 조절하는 약물로, 항콜린제 및 아드레날린성 약물이 포함됩니다.",1.0
신경계 감각기관용 의약품의 정의가 뭐야?,"신경계 감각기관용 의약품은 중추신경계 및 말초신경, 감각기관(눈, 귀 등)의 질환을 예방하거나 치료하는 약물로, 진통제, 항경련제, 안과용제, 이비과용제 등이 포함됩니다.",1.0
국소마취제의 효능은?,"신경의 전도를 일시적으로 차단하여 통증을 느끼지 못하게 하는 약물로, 수술이나 시술 전 특정 부위에 통증 없이 처치할 수 있도록 사용됩니다. 리도카인, 부피바카인 등이 이에 해당합니다.",1.0
진훈제의 효능은?,"어지러움(현훈) 증상을 완화하기 위해 사용되는 약물로, 전정기관 기능 이상 또는 중추신경계 조절 이상에 의한 증상을 완화합니다.",1.0
함소흡입제이란?,"함소흡입제는 증류된 약용 성분을 기체 상태로 흡입시켜 호흡기 점막에 작용하도록 하는 약물로, 기침 완화, 비강 통로 개방, 염증 완화 등을 위한 한방 또는 복합제형의 흡입제가 여기에 해당합니다.",1.0
해독제,"외용 표준제조기준 제제는 식약처가 고시한 기준에 따라 조제되는 피부 또는 점막에 적용하는 외용 약품으로, 피부 질환 완화, 소독, 진통 등의 목적에 따라 다양한 성분과 제형으로 구성됩니다.",0.0
발한제,"심장 수축력을 증가시켜 심박출량을 개선하는 약물로, 심부전이나 저혈압 등의 치료에 사용됩니다.",0.0
통풍치료제의 정의가 뭐야?,"통풍치료제는 요산 대사의 이상으로 발생하는 통풍의 증상을 완화하거나 재발을 예방하기 위한 약물입니다. 요산 생성을 억제하는 약물(예: 알로퓨리놀)과 요산 배설을 촉진하는 약물(예: 프로베네시드), 급성 통증 완화를 위한 소염진통제 등이 사용됩니다.",1.0
부정맥용제,"호흡기관용약은 폐, 기관지, 코 등의 질환을 치료하거나 증상을 완화하는 데 사용되는 약물로, 기관지 확장제, 진해거담제, 항염증제, 흡입 스테로이드 등이 포함됩니다.",0.0
비타민 E 및 K제의 효능은?,"비타민 E 및 K제는 항산화 작용(비타민 E)과 혈액응고 조절(비타민 K)에 관여하는 비타민을 보충하여 결핍 예방, 출혈성 질환 예방 및 치료 등에 사용됩니다.",1.0
혈관확장제은 언제 써?,"혈관확장제는 혈관의 평활근을 이완시켜 혈류를 증가시키고 혈압을 낮추는 작용을 하며, 협심증, 고혈압, 심부전 등의 치료에 사용됩니다. 니트레이트계, 칼슘차단제, 알파차단제 등이 있습니다.",1.0
생물학적 시험용제제류은 어떤 약이야?,"생체 내에서 약물의 흡수, 분포, 대사, 배설 등의 생물학적 반응을 측정하거나 확인하기 위해 사용되는 제제로, 의약품 개발과 품질 시험에 활용됩니다.",1.0
